date,capacity,price,product
03.04.2022,8,209,IronWolf
03.04.2022,10,275,IronWolf
03.04.2022,12,315,IronWolf
03.04.2022,16,,IronWolf
03.04.2022,4,99,Red Plus
03.04.2022,6,158,Red Plus
03.04.2022,8,223,Red Plus
03.04.2022,10,268,Red Plus
03.04.2022,12,309,Red Plus
03.04.2022,14,359,Red Plus
04.04.2022,4,92,IronWolf
04.04.2022,6,166,IronWolf
04.04.2022,8,209,IronWolf
04.04.2022,10,275,IronWolf
04.04.2022,12,315,IronWolf
04.04.2022,16,,IronWolf
04.04.2022,4,99,Red Plus
04.04.2022,6,158,Red Plus
04.04.2022,8,223,Red Plus
04.04.2022,10,268,Red Plus
04.04.2022,12,309,Red Plus
04.04.2022,14,359,Red Plus
05.04.2022,4,92,IronWolf
05.04.2022,6,166,IronWolf
05.04.2022,8,209,IronWolf
05.04.2022,10,275,IronWolf
05.04.2022,12,315,IronWolf
05.04.2022,16,,IronWolf
05.04.2022,4,99,Red Plus
05.04.2022,6,158,Red Plus
05.04.2022,8,223,Red Plus
05.04.2022,10,268,Red Plus
05.04.2022,12,309,Red Plus
05.04.2022,14,359,Red Plus
06.04.2022,4,92,IronWolf
06.04.2022,6,166,IronWolf
06.04.2022,8,209,IronWolf
06.04.2022,10,269,IronWolf
06.04.2022,12,315,IronWolf
06.04.2022,16,,IronWolf
06.04.2022,4,99,Red Plus
06.04.2022,6,158,Red Plus
06.04.2022,8,223,Red Plus
06.04.2022,10,268,Red Plus
06.04.2022,12,309,Red Plus
06.04.2022,14,392,Red Plus
07.04.2022,4,92,IronWolf
07.04.2022,6,166,IronWolf
07.04.2022,8,209,IronWolf
07.04.2022,10,269,IronWolf
07.04.2022,12,315,IronWolf
07.04.2022,16,,IronWolf
07.04.2022,4,99,Red Plus
07.04.2022,6,158,Red Plus
07.04.2022,8,223,Red Plus
07.04.2022,10,268,Red Plus
07.04.2022,12,309,Red Plus
07.04.2022,14,408,Red Plus
08.04.2022,4,92,IronWolf
08.04.2022,6,166,IronWolf
08.04.2022,8,209,IronWolf
08.04.2022,10,269,IronWolf
08.04.2022,12,309,IronWolf
08.04.2022,16,,IronWolf
08.04.2022,4,99,Red Plus
08.04.2022,6,161,Red Plus
08.04.2022,8,223,Red Plus
08.04.2022,10,281,Red Plus
08.04.2022,12,309,Red Plus
08.04.2022,14,389,Red Plus
09.04.2022,4,92,IronWolf
09.04.2022,6,166,IronWolf
09.04.2022,8,209,IronWolf
09.04.2022,10,269,IronWolf
09.04.2022,12,309,IronWolf
09.04.2022,16,,IronWolf
09.04.2022,4,99,Red Plus
09.04.2022,6,161,Red Plus
09.04.2022,8,223,Red Plus
09.04.2022,10,281,Red Plus
09.04.2022,12,309,Red Plus
09.04.2022,14,389,Red Plus
10.04.2022,4,99,IronWolf
10.04.2022,6,166,IronWolf
10.04.2022,8,209,IronWolf
10.04.2022,10,269,IronWolf
10.04.2022,12,309,IronWolf
10.04.2022,16,,IronWolf
10.04.2022,4,99,Red Plus
10.04.2022,6,161,Red Plus
10.04.2022,8,223,Red Plus
10.04.2022,10,280,Red Plus
10.04.2022,12,309,Red Plus
10.04.2022,14,389,Red Plus
11.04.2022,4,99,IronWolf
11.04.2022,6,166,IronWolf
11.04.2022,8,209,IronWolf
11.04.2022,10,269,IronWolf
11.04.2022,12,309,IronWolf
11.04.2022,16,,IronWolf
11.04.2022,4,99,Red Plus
11.04.2022,6,161,Red Plus
11.04.2022,8,223,Red Plus
11.04.2022,10,280,Red Plus
11.04.2022,12,309,Red Plus
11.04.2022,14,389,Red Plus
12.04.2022,4,99,IronWolf
12.04.2022,6,166,IronWolf
12.04.2022,8,209,IronWolf
12.04.2022,10,269,IronWolf
12.04.2022,12,309,IronWolf
12.04.2022,16,,IronWolf
12.04.2022,4,99,Red Plus
12.04.2022,6,161,Red Plus
12.04.2022,8,223,Red Plus
12.04.2022,10,280,Red Plus
12.04.2022,12,309,Red Plus
12.04.2022,14,389,Red Plus
13.04.2022,4,99,IronWolf
13.04.2022,6,166,IronWolf
13.04.2022,8,209,IronWolf
13.04.2022,10,269,IronWolf
13.04.2022,12,309,IronWolf
13.04.2022,16,,IronWolf
13.04.2022,4,99,Red Plus
13.04.2022,6,161,Red Plus
13.04.2022,8,223,Red Plus
13.04.2022,10,281,Red Plus
13.04.2022,12,309,Red Plus
13.04.2022,14,389,Red Plus
14.04.2022,4,99,IronWolf
14.04.2022,6,166,IronWolf
14.04.2022,8,209,IronWolf
14.04.2022,10,269,IronWolf
14.04.2022,12,309,IronWolf
14.04.2022,16,,IronWolf
14.04.2022,4,99,Red Plus
14.04.2022,6,161,Red Plus
14.04.2022,8,223,Red Plus
14.04.2022,10,279,Red Plus
14.04.2022,12,309,Red Plus
14.04.2022,14,389,Red Plus
15.04.2022,4,99,IronWolf
15.04.2022,6,166,IronWolf
15.04.2022,8,212,IronWolf
